category,rating,label,text_
Books_5,5.0,OR,Outstanding read! Great story and Rawles is technically accurate on weapons and techniques.
Clothing_Shoes_and_Jewelry_5,5.0,CG,I love this organizer.  It has the wide brim which is perfect.  The yellow is awesome.  The top is a nice bright red and the
Clothing_Shoes_and_Jewelry_5,5.0,CG,Love this product. Baby wear it everyday and the materials are good.  I have a baby girl.
Books_5,5.0,OR,I read this book years ago and I still find myself talking about it and recommending to friends. It is a wonderful story and reminds us that not everyone sat by and did nothing during the holacaust. Many people risked their lives to do the right thing. I recommend this book highly.
Electronics_5,4.0,CG,Awesome been having it for a couple weeks now and it works great. The only downside is that it's very small. I bought the TRS-80A as a replacement for my older model.
Electronics_5,4.0,CG,This drive worked perfectly in my old Macbook Pro. I also love that it's been powered by a 6v power supply. The drive also works as a USB hub. I plugged it into a USB hub
Electronics_5,5.0,OR,This works very nice and I haven't had any connection issues so far.
Clothing_Shoes_and_Jewelry_5,3.0,CG,"It fits well, the heel is a little wide, and the foot bed is a little too big"
Clothing_Shoes_and_Jewelry_5,5.0,OR,"I have high arches and because of this, initially found that the part of the shoe that goes over the top of my foot close to my ankle is so rigid that they were uncomfortable to wear for more than a little while at a time. Fortunately, since they are leather, the break-in was very brief and they are now extremely comfortable. Additionally, they are great looking and seem to be very high quality--I am confident that they will last.  Also, I think the footbed is very comfortable and they seem to support my high arches just fine. I have both the patent black leather and the blue Cayman style. The blue Cayman is absolutely Exquisite and the color in the picture does not do the shoe Justice. It is a beautiful almost metallic silvery blue and I just love it.

Also be sure you understand the difference between the professional clog and the pro XP mule. I find the pro XP mule to be significantly more comfortable than the regular professional clog and worth the extra money."
Books_5,4.0,OR,"I enjoyed reading this book. This novel is entertaining, moving and funny. The author grabbed me from the first chapter and I was laughing really hard sometimes. Very well written novel, looking forward to read more by this author."
Clothing_Shoes_and_Jewelry_5,4.0,CG,"The Invicta Men's 1278 II (C) Booties. I normally wear a size 10 and ordered the size 10.5 in the Invicta Men's 1278 II. I was pleasantly surprised to find the size 10.5 in this booties. This is a very good booties and a very comfortable booties to wear with jeans or a sweater. I received this booties in a very timely manner and I highly recommend it to anyone who may have a size 10 or 11 in these booties. I'm going to order a half size larger in the Invicta Men's 1278 II and am happy with them.

I would not recommend these booties for anyone who does not have a size 10 or 11. They run a bit big for me, but if you are a size 10 or 11, you will probably"
Electronics_5,5.0,OR,This DOCSIS 3.0 high-speed modem is a great match for our 25Mbps cable and gigabit network.
Electronics_5,1.0,OR,"I loved this device when I first received it. It is slim, lightweight, had a good feel to the keys and was a USB device. However, after about a month of using it a few of the keys started to kind of stick. Next thing I knew, it was causing my computer to go crazy. I wasn't able to type using it was flashing text. As soon as I disconnected the device my computer worked perfectly again. I can only assume one of the keys was permanently stuck (although I can't figure out which one) and so it was trying to type that character over and over. I am just out of the return window and so I am stuck with it. Luckily it wasn't more expensive than it is. I believe I saw a few comments here about people with similar experiences. Please believe them as I think this is likely to happen to you too. Oh yeah, I am a very light computer user. This was only used for personal business not a work computer."
Electronics_5,5.0,CG,"Awesome roll of cable. I use it as an external HDD for my computer, and I have not had a problem."
Home_and_Kitchen_5,2.0,CG,Just OK. Am buying a second set.I love these containers.  They work well and look
Home_and_Kitchen_5,5.0,CG,I have had this Presto for a couple of months and I really love it. I have one in my bathroom and the other in my office. The Presto is a great little vacuum that takes up little space. It is a little bit noisy but it is worth it. The reviews said it
Books_5,5.0,CG,"She is truly, perfectly funny.  She is an interesting character.  She is a very strong person.  She is very open.  She is very open.  She is very open. "
Home_and_Kitchen_5,5.0,CG,"We purchased two sets of this set and they look just like the picture.  I am very pleased with them.  The plastic parts are very sturdy, and the cover is very sturdy.  They are still very attractive, and I think they are going to last a long time.  I would definitely buy these again!They are a great addition to any kitchen.  I love that they are made of silicone and that they are made of silicone.  It's very easy to wash and dry them"
Books_5,5.0,OR,"From Pam Becker ... this was a wonderful, magical novel!  I just loved it, and hated for it to end.  It was fun to suspend reality for awhile every day."
Books_5,3.0,CG,"Lots of history from middle school to college.  Not too much history, just a bunch of historical"
Electronics_5,5.0,CG,"Wireless mouse and keyboard I use with my cell phone. I also love that it's been one of the first affordable mouse covers I've used. The basic design of the mouse is pretty straight forward, and it's really good for a tablet. If you're looking for a cheaper"
Home_and_Kitchen_5,1.0,OR,"It leaks, it leaks!

Dang.

My office chair, which gets heavily used, would settle slowly towards the earth in the course of a day. And then need to be raised again. So I replaced the cylinder with this one with this one. Removing the old cylinder just took one good whack, then installing this one was easy, everything fit nicely.

Unfortunately... my chair is still settling slowly towards the earth. Not as fast. But still doing it.

Oh well.

I will try again with a different manufacturer. I will modify this review if it turns out that it's somehow the chair's fault, rather than the piston's fault."
Books_5,3.0,CG,"There's less drama in the book than the usual, which is refreshing.

The story is told through two stories. The first story takes place in the beginning of the book, and the second story takes place in the middle of the story. The first story takes place in the middle of the story, and the second story takes place in the middle of the story. The first story takes place in the beginning of the book, and the second story takes place in the middle of the story. The first story takes place in the middle of the story, and the second story takes place in the middle of the story. The first story takes place in the middle of the story, and"
Electronics_5,3.0,CG,"This model has apps preinstalled on it.  Not included in the package is the built-in WiFi so you can connect to your phone and then connect to the internet.  This is a nice feature and I highly recommend it.I use this as a dual-core GPU for my HTPC.  I have the most recent version of the latest version of Linux, which is faster and more stable.  I installed the latest drivers on my motherboard and it works great.  The only thing I wish it had was a USB cable.  This is a little confusing, but it is a good idea.  I have used it with a GTX 960, which is a GTX 1080, and it"
Kindle_Store_5,5.0,OR,"This was the first book I ever read by Kerrigan, and like every book since, it left nothing (and everything) to be desired. Fabulously written, amazingly deep characters (especially for a short story) beautiful love story, and a whole lot more. Nothing left to be desired in the writing, except that it leaves you wanting more. Always more! I devour Kerrigan's books and just cannot wait until the next one."
Electronics_5,4.0,OR,"Its barely fits the i7 cooling fans, but its good"
Kindle_Store_5,4.0,CG,"Ambrose, the hero of this book, is an alcoholic. He is a detective, a former Marine. He is not the type of guy you want to have a drink with. He is a man of honor and integrity.

I liked the ending. I liked the characters. I loved the story. I liked the characters. I loved the fact that they were together. I liked that there was a scene with the hero and heroine that was very sweet and a little hot. I liked the fact that there was a scene where the heroine felt the need to apologize to the hero.

I think this book is definitely a must read for anyone who loves"
Electronics_5,5.0,OR,"I only purchased online if I know exactly what the product looks like. But this one,before I decided to put it in my cart I've been done through a lot of research not only on customer's review but also I've been trying to find this in a local store and unfortunately  I can't  see any store in my area sells a tripod like this brand.
So just to make this review short ,i will say this is  a JACKPOT ! because after i received and when I opened the box,the  type of tripod that I've been dreaming of,is already in my hand."
Kindle_Store_5,5.0,CG,This is a good shifter book. The characters are well developed and the story is well told. The story is well written and the story is well written. The writing is great and the story is well told. It was a good read.I read this book to my niece and her cousin and it was great! I can't wait to read the next one!I've read all of the books in the series and I can't wait to see what happens next. I love how the characters come to life in this book. I will definitely be reading more of
Electronics_5,5.0,CG,These speakers are crystal clear!  I love the bass and treble.  The highs are awesome.  The lows are amazing.  I can't even hear the bass of the other speakers.  I can hear the highs in the treble.  This is my second pair of speakers and I'm really happy with the
Books_5,3.0,CG,"This book is one of the best I've ever read.  I love how the author has a way of painting the story.  I also love the illustrations, which are very interesting.  The illustrations are great.  I would recommend this book.  I recommend it to everyone.I love this series! I can't wait to see how the"
Electronics_5,4.0,OR,"I use lens hoods to improve contrast, as well as to provide a bit of physical protection for the lens, since I don't believe in adding a ""protective"" filter to the front of a lens, except where there is a chemical or severe debris risk. That said, this one is pretty small, so not much protection physically, but if it helps increase contrast, then it will be worth the investment."
Kindle_Store_5,5.0,CG,This book has everything in it. The characters are well developed and the story is well told.
Kindle_Store_5,5.0,CG,"Normally after finishing a book, I will read the next one. If you have been following the series, you know the characters, and the storyline is very well written. I enjoyed this book. I highly recommend this book. This was a very good story. The characters were well developed. I liked the way the story line was told and the book was well written. I liked the ending. I felt like there was more depth to the story. This was a great book for me to read about. I enjoyed the character's, the story line, the action and the romance. The romance was well written. The story flowed nicely and kept my interest. I am looking forward to reading more by this author. I love this series, and the story line was well done. It has a good story line, with a good ending. I would recommend this series to anyone. I really enjoyed this book. It's a quick read."
Books_5,5.0,OR,"This book is filled with the dark unspoken, underbellies of fellow human beings; it will prod you to consider your own secrets and perhaps, to be more human. For anyone who seeks solace in the company of others fortune or misery, or for those of you who'd sneak a peek under the diary's cover if given the chance -- this one as well as the other three Post Secret books by Frank Warren are for you. I also highly recommend the book&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Understanding-Train-of-Thought/dp/1434322580/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Understanding: Train of Thought</a>."
Clothing_Shoes_and_Jewelry_5,5.0,OR,Guys a little bugger than expected but not big enough to warrant a size up ... but close. Super comfy and works great with leggings.
Home_and_Kitchen_5,5.0,CG,They are the perfect touch for me and the only thing I wish they had a little more space.
Kindle_Store_5,4.0,CG,I found myself yearning for more of the story and more of the characters.  I was sad to see that the story ended.  I also felt the writing was a
Kindle_Store_5,1.0,OR,I downloaded the book Christmas Eve an I have time to read it. Well through out the book even the bonus books have a red ! Saying click here error in your download. Well the book seemed to download fine. But I am worried it has a virus so I am not going to read it. I just thought someone should know.
Clothing_Shoes_and_Jewelry_5,2.0,CG,"Just received this product today, and it arrived on time. I will be purchasing more in other colors.I bought this for my son, and he is very happy with the purchase.  The color is beautiful and the material is very"
Home_and_Kitchen_5,5.0,OR,"This item's bulky for a small apartment counter top, but works like a charm!"
Kindle_Store_5,5.0,OR,"i love all mailorder bride books keep them coming, thankssherry"
Electronics_5,2.0,OR,I wanted to use it as a signature pad but it didn't work for my needs. It appears to function well for graphics arts but I'm not a graphic artist so I'm not an expert on how it should function.
Electronics_5,3.0,CG,"These two USB flash drives are an amazing combo.  I will keep my thumb on the edge of my computer and the computer will run smoothly.  The flash drive is great for storing pictures or videos.  It will even work with a flash drive if you use it with a full sized flash drive.  I love the fact that I can transfer the pictures to a USB flash drive without leaving my computer.  I highly recommend it to anyone who needs an external hard drive for their PC.I bought this for a friend, but he does not like it.  I just bought a second one, and he is very happy with it.  I can't say enough about"
Electronics_5,4.0,CG,"This unit works as advertised. The only problem is that it comes with a small screwdriver. If you want to use a small screwdriver, you'll need a screwdriver that is bigger than this one. I would suggest using a small screwdriver to hold the screwdriver securely."
Home_and_Kitchen_5,3.0,CG,I fell this should be a standard size. Not too large. Like the size of the other two.
Home_and_Kitchen_5,3.0,CG,Seems o.k. but time will tell. The only reason I gave it 4 stars is because the one in the
Kindle_Store_5,5.0,OR,"This book is really worth reading and I found it interesting. It has useful information on food labels which we always ignore. Food labels tell us what are inside the food, the calories, the percentage of nutrients, and so on. By understanding food labels, we can choose what to buy and eat healthier. The book is related a lot to our daily life. I think it is necessary for us to read it since it is really helpful."
Home_and_Kitchen_5,5.0,CG,It matches my bathroom colors and looks great.  I've also used this for the bathroom and it is so
Clothing_Shoes_and_Jewelry_5,4.0,CG,Great socks.  Don't have to break them in.  I will keep them for the next
Kindle_Store_5,3.0,CG,"Too slow moving and hard to follow, the story is good but not my favorite."
Kindle_Store_5,5.0,CG,"I was going to start reading this book with the title of ""The Book of the Year"" but I read it anyway. I liked it and am looking forward to the next book"
Clothing_Shoes_and_Jewelry_5,5.0,OR,"It is Excellent, I received on time and the quality is great work as Its required and I will give 5 stars, its just Wonderful, better impossible, I was checking many different and similar of this one and I couldn't find someone like this."
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Classic, fantastic quality, beautiful, gets compliments on the way it looks.

The only reason I ordered"
Books_5,5.0,CG,I purchased this for my daughter.  She loves it.  She also loves the photos and the descriptions.  This is the best
Home_and_Kitchen_5,3.0,OR,"These containers are neither leak-proof nor airtight.  However, they are very hand, and I can use them for other purposes."
Books_5,1.0,CG,"The language throughout this book is an easy read and you will not be disappointed. I am not a big fan of the word ""chick"" but the words ""good"" and ""bad"" are well-known in English and it was enjoyable to learn about the two characters. The book is a fast read with a great ending.I had to wait a few days to finish this book because I didn't want to put it down.  It was an interesting story and I'm glad I did.  It's not a bad book, but it's not a great book either.  I think it's a good book, but it's not a great"
Electronics_5,4.0,CG,"I saw someone else using this lens and thought it was a great lens for the price.  I bought this lens for the Canon, and it is the best lens I have ever used.  It is still going strong, and it will be useful for years to come."
Books_5,5.0,OR,This book is well worth the read. It was hard to put down!  Fantastic story that kept you wanting more.
Clothing_Shoes_and_Jewelry_5,3.0,OR,"The material and the feel of it is not all that great. Its clothes for the gym you are going to get dirty and sweaty anyways, so I guess its okay."
Clothing_Shoes_and_Jewelry_5,2.0,OR,A stone fell out after having it for just one week. and I did not wear it everyday. Not worth the trouble of sending it back
Kindle_Store_5,5.0,CG,Nice to see how Brett and Juliet are going to try to keep things civil. I was hoping to find a part 2 to the story.  The ending was a bit
Kindle_Store_5,5.0,OR,"A River Bend Wedding celebrates the planning and pre-wedding events for the couple that started us all on the journey in River Bend, NE, Josh and Carissa.

Five and half years are what it has taken for Josh and Carissa to get to this point.  Their joys and trials, tears and cheers, kicks and kisses; we went through them all with this couple. Now we get to see all that love for each other, as well as from their friends and family, celebrated in A River Bend Wedding.

This is a Novella and is best read after reading books 1-4 in the series. Everything comes to a happily ever after and leaves nothing hanging in this story, but don't fret, there are more to come in River Bend.

Molly McLain once again has captured my heart with this endearing group of characters and transported me back to their little town that I fell in love with in Cant Shake You."
Home_and_Kitchen_5,4.0,OR,"This is definitely the cutest apron I've ever owned! It also seems to be treated with some kind of scotchguard or startch, as the material is very stiff (but also water resistant). I splashed some water on myself while I was doing dishes and it did not soak through to my clothes underneath! It is easily machine washable, though may require another treatment after a few washes to keep the stiffness and water resistance.

It falls just about at my knees, a perfect length in my opinion. The pockets are well crafted, but could be a little bigger.

The only gripe I have is that the cute low-cut V neck style leaves a lot of empty space to be filled by splashes and drips. I can see myself managing to get that area dirty since there is nothing covering my clothes."
Electronics_5,5.0,OR,i love this case it has a nice black finish and all components fit comfortably inside with room to spare. It also has ample room for cooling and extras.
Clothing_Shoes_and_Jewelry_5,4.0,OR,"I have not worn this in the water yet so I will need to repost next week.  Love the color!  A little hard to tie the back together, do your yoga stay flexible or have a friend handy.  The bottoms have ties so you can adjust the coverage."
Home_and_Kitchen_5,5.0,CG,"Had this beautiful flag in my bedroom, the only thing I didn't like is the way the colors are so bright. The colors are a bit brighter than the"
Clothing_Shoes_and_Jewelry_5,4.0,OR,"Hard to tell how long it will hold up, but at this price it was still a bargain.  Would purchase again."
Home_and_Kitchen_5,5.0,CG,"I found both of these to be the best tools in the world.  They are strong and sturdy.  I had to replace a couple of the plastic ones, so it"
Kindle_Store_5,5.0,OR,I've been waiting (mostly patiently) for the third book in the Weston Family series.  I loved the first one so much and was sad to hear the publisher dropped the series.  Henry's book was worth the wait.  I loved that the conflict facing the couple was not external to them but internal fears that the Diana most conquer before getting her happily ever after.  After reading so many books that have gentlemen spies or villains it was nice to read a book that focused on the characters and their relationship.  I loved this book and hope that more Weston books will be coming.
