user_id,order_id,purchase_amount,return_amount,purchase_date,return_date,return_status,product_category
1039,1,223.28,0.0,2023-09-24 01:11:09,,Not Returned,Clothing
9920,2,370.76,308.15,2023-12-17 05:20:35,2025-06-03 10:55:29,Returned,Sports
3789,3,223.33,0.0,2024-08-17 15:39:16,,Not Returned,Sports
8961,4,479.22,333.04,2023-09-23 05:08:12,2024-10-26 22:09:18,Returned,Books
7370,5,947.71,507.46,2024-11-05 15:43:43,2024-11-13 14:39:49,Returned,Books
2581,6,23.9,0.0,2024-02-25 10:23:19,,Not Returned,Home
7465,7,76.19,49.04,2025-05-27 04:53:08,2025-06-03 01:46:50,Returned,Clothing
1490,8,781.29,0.0,2023-10-20 09:17:37,,Not Returned,Toys
3599,9,612.81,0.0,2025-05-30 13:46:12,,Not Returned,Toys
3424,10,18.56,0.0,2025-03-04 08:56:28,,Not Returned,Sports
2270,11,652.97,604.32,2025-03-12 23:54:27,2025-05-07 08:42:11,Returned,Toys
9609,12,685.81,0.0,2024-06-19 02:06:49,,Not Returned,Books
3070,13,728.43,0.0,2025-05-15 11:09:27,,Not Returned,Electronics
6732,14,430.87,321.32,2023-09-30 01:44:27,2024-04-08 21:58:25,Returned,Electronics
1179,15,95.4,89.19,2024-02-24 12:41:13,2025-03-24 10:09:42,Returned,Home
2549,16,614.03,0.0,2023-09-20 10:36:10,,Not Returned,Sports
3333,17,873.58,0.0,2024-11-01 13:16:44,,Not Returned,Books
1864,18,401.83,151.39,2024-05-06 04:43:17,2025-02-28 19:31:01,Returned,Books
3148,19,401.76,238.18,2024-08-26 17:22:33,2025-02-14 13:09:21,Returned,Toys
8002,20,28.17,5.85,2024-08-25 22:30:02,2024-09-30 23:20:58,Returned,Sports
6009,21,114.42,110.97,2025-01-09 14:26:54,2025-03-06 08:34:17,Returned,Electronics
5803,22,752.47,596.57,2024-08-08 04:19:35,2025-05-27 00:09:57,Returned,Books
5958,23,81.79,48.45,2025-06-08 13:44:52,2025-06-14 21:58:21,Returned,Sports
2672,24,406.12,0.0,2025-05-17 14:51:58,,Not Returned,Home
2873,25,875.26,0.0,2025-06-10 18:36:15,,Not Returned,Toys
6213,26,492.2,0.0,2024-06-07 00:53:15,,Not Returned,Sports
5131,27,40.16,0.0,2025-04-03 10:14:41,,Not Returned,Toys
8211,28,591.08,0.0,2023-11-30 09:25:08,,Not Returned,Clothing
7737,29,239.53,0.0,2025-03-04 04:33:20,,Not Returned,Sports
8108,30,145.14,143.86,2024-11-30 14:53:30,2025-05-19 01:07:41,Returned,Home
3199,31,643.2,0.0,2024-05-10 22:06:58,,Not Returned,Sports
5154,32,414.04,174.36,2023-10-24 10:06:53,2023-12-31 19:50:20,Returned,Sports
1645,33,446.11,261.83,2024-09-17 18:44:17,2025-06-09 08:05:44,Returned,Clothing
9127,34,506.16,0.0,2024-11-23 12:24:25,,Not Returned,Home
7067,35,709.76,0.0,2024-10-04 13:38:43,,Not Returned,Electronics
5502,36,868.37,613.82,2023-10-01 10:22:40,2024-04-09 04:19:16,Returned,Toys
8930,37,297.41,265.22,2024-09-15 04:10:20,2025-01-09 07:33:30,Returned,Books
4994,38,938.47,0.0,2023-08-05 09:37:58,,Not Returned,Home
4186,39,115.33,0.0,2024-03-18 17:28:17,,Not Returned,Clothing
9151,40,862.8,634.32,2024-12-07 22:42:42,2025-02-27 20:12:02,Returned,Sports
